1.7995,1.3069,1.171,1.5127,1.7591,1.9313,1.5103,1.2476,1.6317,1.8312
1.3532,1.1356,1.0756,1.2265,1.3354,1.4115,1.2254,1.1094,1.2791,1.3672
1.7888,1.3028,1.1687,1.5059,1.7489,1.9189,1.5035,1.2443,1.6232,1.8201
1.1949,1.0748,1.0417,1.125,1.185,1.227,1.1244,1.0604,1.154,1.2026
1.788,1.3025,1.1686,1.5054,1.7482,1.9179,1.503,1.2441,1.6226,1.8193
1.0724,1.0278,1.0155,1.0465,1.0688,1.0844,1.0462,1.0224,1.0572,1.0753
1.2171,1.0834,1.0464,1.1392,1.2062,1.2529,1.1386,1.0672,1.1715,1.2257
1.4584,1.176,1.0981,1.294,1.4353,1.534,1.2926,1.142,1.3622,1.4766
1.1054,1.0405,1.0225,1.0676,1.1001,1.1228,1.0673,1.0326,1.0833,1.1096
1.0955,1.0366,1.0204,1.0612,1.0906,1.1112,1.0609,1.0296,1.0754,1.0992
